What is your group number?,Ward,Sub-ward/ Location,Sub-Location  (Kabarnet mosop),Sub-Location (Kabarnet soi),Village Name?,Location,Sub-location (kabiyet),Sub-location (ravine),Village Name?,Is there a Project associated to this facility?,Participatory Budgeting or HQ project?,Project ID,Project_Name_or_Title,Project_Description,Category,Type of project,What_is_the_project_s_apparent_status,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,Photo of Project,_id,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,HQ,3345.0,Kabarnet Referral Hospital -- mortuary,erection and completion of 48-body mortuary ,Health Services,Other,Completed,Adequate,the project is goodbut tge capacity should be increased to 60 since it is a refferal hosiptal and serves even other counties.there is also a shortage of human resource.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531903619213.jpg,26125945,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,HQ,3551.0,Kabarnet Referral Hospital -- surgical ward,proposed erection and completion of kabarnet surgical ward.,Health Services,Other,In progress,Poor,the project has stalled for qiute a while and bulding materials have been taken away by the contractor.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531905240148.jpg,26125963,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,HQ,3525.0,Kabarnet Referral Hospital -- intern quarters,renovation of kabarnet refferal hopital intern quarters.tilling and painting,Health Services,Other,Completed,Excellent,the work is good.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531906457617.jpg,26125995,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,HQ,3570.0,Kabarnet Referral Hospital -- lagoon,proposed rehabilitation of hospital sewarage lagoon,Health Services,Other,In progress,Adequate,"the quality is avarage, the perimeter wall is not complete.",http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531906979759.jpg,26126011,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,PB,3525.0,Kabarnert Referral hospital -- administration block,renovation of administration block.,Health Services,Other,Completed,Adequate,the workmanship was good and of good quality.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531907382788.jpg,26126016,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,HQ,4159.0,Polkadot Library,construction works for polkadot library.,"Education, Sports, Culture and Social services",Libray,Completed,Adequate,"the library is of good quality,but has inadequate space.",http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531911164212.jpg,26126055,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,HQ,4137.0,Kabarnet Social Hall,kabarnet social hall,"Education, Sports, Culture and Social services",Social hall,In progress,Adequate,the project progress is slow.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531911656257.jpg,26126069,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,HQ,1291.0,Kabarnet Model ECD Dining Hall,completion of a dining hall.,"Education, Sports, Culture and Social services",ECDE centre,Not yet started,Adequate,complete construction of social hall which has stalled.as a result the school is now requesting for toilets and 3 classrooms which are a priority to them than a hall.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531912791843.jpg,26126096,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,HQ,5168.0,Kabarnet Fire Station,improvement and renovation of fire station.,"Lands, Housing and Urban Development",Other,Not yet started,Poor,not equipped at the time of visit.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531918931884.jpg,26126149,
2,Kabarnet,Kabarnet mosop,Kewamoi,,kabarnet town,,,,,Yes ,HQ,1587.0,Kabarnet Market Sheds,constructed market sheds,"Lands, Housing and Urban Development",Market shed/ Open air market,Completed,Adequate,the project is complete .,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531920516358.jpg,26126170,
4,Kabarnet,Kiboino,,,Oinabmoi,,,,,Yes ,PB,5012.0,Cheploch Gorge toilet and landscaping,Divers changing room,"Environment, Natural Resource, Tourism and Wildlife Management",Public_toilet,Not yet started,Adequate,It will be good,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1531906327121.jpg,26127058,
