is_in:village,Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_marigat,Sub_Location_Kiponjos,Sub_Location_Bekibon,Sub_Location_Tuluongoi,Sub_Location_Kimalel,Sub_Location_Kimondis,Sub_Location_Sokta,Sub_Location_Ewalel_Soi,Sub_ward_location,Sub_location_Mogotio,Sub_location_ngubereti,Sub_location_Sirwa,Sub_location_Koitebes_Kimngorom,Sub_location_Kiptoim,Sub_location_Rosoga,PB_or_HQ,Project_Name,Additional_Project_Details,,,Budgeted sum,wb_pb:id,added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Projects_that_have_been_completed,projects_that_have_not_yet_started,projects_that_have_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,image:project,Notes corrections on Kobo,zack's comment/feedback/correction,Validation Status on Kobo,Notes Adele 10/10 and 29/10
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction of office outpatient block and general ward blocks,,,"2,784,900.00",1,,HS,hospital,,completed,operational,,,excellent,All the services are running well.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568108977395.jpg,Fixed Dep,,Approved,
Kipsogon,yes,mogotio,,,,,,,,,,mogotio,kelelwa,,,,,,PB,Kipsogon Health Center,Renovation of construction works.,,,"1,000,000.00",2,,HS,dispensary,,completed,operational,,,adequate,"Not all general medical services are offered and it has few staff who work there, but the structural works is commendable.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568274183497.jpg,"Fixed Dep, corrected spelling mistake",,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction/maintanance of Administration block at Mogotio Sub County Hospital,,,,3,,HS,hospital,,completed,operational,,,excellent,The building is in good condition right now and it is being used to serve people.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568109376113.jpg,Fixed Dep and spelling mistake,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Plumbing works at Mogotio Sub County Hospital,,,,4,,HS,Water_project,,completed,operational,,,adequate,Plumbing works have not been done to all the blocks but availability of water storage facility is okay.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568111690936.jpg,Fixed Dep and spelling mistake,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction of septic tank,,,"3,851,084.00",5,,HS,hospital,,completed,operational,,,excellent,It's functioning properly.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568109816579.jpg,Fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction of Kitchen and laundry block,,,"2,000,000.00",6,,HS,hospital,,completed,operational,,,adequate,The general construction works are good only that it requires kitchen properties.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568111069610.jpg,Fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Installation of underground cables,,,"2,000,000.00",7,,HS,Other_1,Power Cables,completed,operational,,,excellent,Fully operational,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568110475948.jpg,Fixed Dep and added Power Cables after Other,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Sub County Hospital,Construction of theatre room,,,"6,908,475.00",8,,HS,hospital,,not_yet_started,,handed_over_to,,adequate,The hospital community hopes it will ease some of its services and hope the project will start very soon.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568112183368.jpg,Fixed Dep and spelling mistake,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Information Center,Construction of Mogotio information center,,,"17,889,535.40",9,,TWNRM,Other_1,Office building,stalled,,,contractor_left,adequate,The project is on the finishing stage and requires immediate action and the structural standard is okay.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568284560450.jpg,Fixed Dep,,Approved,
Mogotio,yes,mogotio,,,,,,,,,,mogotio,mogotio,,,,,,PB,Mogotio Public Park,Construction of perimeter wall for the park,,,"2,000,000.00",10,,TWNRM,Other_1,Public Park,completed,non_operational,,,excellent,Wall are well fitted including the gates.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568119447178.jpg,Fixed Dep and added Public Park after Other,,Approved,
