is_in:village,Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_marigat,Sub_Location_Kiponjos,Sub_Location_Bekibon,Sub_Location_Tuluongoi,Sub_Location_Kimalel,Sub_Location_Kimondis,Sub_Location_Sokta,Sub_Location_Ewalel_Soi,Sub_ward_location,Sub_location_Mogotio,Sub_location_ngubereti,Sub_location_Sirwa,Sub_location_Koitebes_Kimngorom,Sub_location_Kiptoim,Sub_location_Rosoga,PB_or_HQ,Project_Name,Additional_Project_Details,,,Budgeted sum,wb_pb:id,added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Projects_that_have_been_completed,projects_that_have_not_yet_started,projects_that_have_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,image:project,Notes corrections on Kobo,zack's comment/feedback/correction,Validation Status on Kobo
Bekibon,yes,marigat,bekibon,,,buiwon,,,,,,,,,,,,,PB,Bekibon ECDE,Construction of ECDE toilet,,,,81,,EDU,ecde_centre,,completed,operational,,,excellent,"At least it's fairly build, but need of additional class",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568109480600.jpg,"Zack, see comment on project detail",,
Patkawanin,yes,marigat,kimalel,,,,,koriema,,,,,,,,,,,HQ,Patkawanin ECDE,Construction of an ECDE Center,,,,83,,EDU,ecde_centre,,completed,operational,,,excellent,1. It has promoted early childhood education. 2. It has created a conducive environment for learning. 3. It has accomodated more pupils than before.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568106330549.jpg,Corrected project name and fixed Dep,,Approved
Sirinyo A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Karianga ECDE,Construction Of ECDE Classrooms,,,3828448,84,223,EDU,ecde_centre,,completed,operational,,,excellent,The building is complete and it is well done. The floor is in good condition. There is a ramp for easy accessibility for pupils with disability. When the building was done it attracted parents to bring their kids to the school because they now believed that it is a county school.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568290627873.jpg,"Zack, see comment on ID",Yes it's 84,
Mokobe,yes,marigat,kimalel,,,,,sabor,,,,,,,,,,,HQ,Mokobe ECDE,Construction of ECDE Classroom,,,3828448,85,,EDU,ecde_centre,,completed,operational,,,adequate,"The structure is well built but the desks are not up to standard. They lack water, electricity and toilets",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568367282445.jpg,Corrected spelling mistake,,Approved
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,PB,Marigat Primary ECDE,Construction of ECDE Classroom,,,5235344,86,,EDU,ecde_centre,,completed,operational,,,adequate,The project is adequate but needs repairing of windows that are broken,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568027219069.jpg,Corrected department and spelling mistake,,Approved
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Marigat Sale Yard,Construction/Rehabilitation Of Marigat Sale Yard,,,461726,87,,AGLF,Other_1,Goat Yard,completed,operational,,,excellent,The community is able to buy and sale livestocks on auction day.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568288145961.jpg,"Fixed Dep, corrected grammar",,Approved
Kimalel,yes,marigat,kimalel,,,,,kimalel,,,,,,,,,,,PB,Kimalel Goat Auction,Construction of Pavilion at Kimalel Goat Auction,,,5000000,88,,AGLF,Other_1,Pavilion,completed,operational,,,excellent,Well structured and managed.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568712361474.jpg,Corrected grammar,Approved,
Ngenyin,yes,marigat,ewalel_soi,,,,,,,,koitilion,,,,,,,,HQ,Ngenyin Irrigation Scheme,Channeling of water for crop irrigation,,,5264625,89,91,WI,irrigation_scheme,,completed,operational,,,excellent,It provides water for irrigating food crops hence improving food security,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568279969141.jpg,"Zack, see comment on ID","It should be 89, another mix up in the field --> okay, corrected ID to 89 and fixed Dep",Approved
Sirinyo C,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Sirinyo Water Supply,Construction Of Borehole By Red Cross,,,340500/2000000,90,,WI,borehole,,completed,operational,,,adequate,Supply clean water to the community but there is leakage with the main tank. There is clean water but the pressure is low,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568272972595.jpg,"Corrected project name, grammar and fixed Dep",,Approved
Maoi,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Maoi Water Supply,Construction Of Borehole,,,1995000,91,,WI,borehole,,completed,operational,,,excellent,1. Pupils get clean water for human consumption. 2. Community gets water frequently.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568109587749.jpg,"Corrected project name, fixed Dep and spelling mistakes",,Approved
