_id,Ward,Sub_ward,Cluster_Wote,Cluster_Nziu,Project_ID,Project_Name_or_Title,Project_Description,Category,Type_of_facility,What_type_of_facility_or_project_is_it,What_is_the_project_s_apparent_status,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,,,Merge_OSM_ID,Project_Name_for_Print,type_of_facility_for print
22761986,,,,,10.19,Matondoni borehole,Not yet started,water_irrigati,Water/Irrigation,Borehole,not_yet_starte,Adequate,Need to be drillled for the residents of matondoni.,PB,1526642648799.jpg,,Matondoni borehole,water point
22762087,,,,,10.29,Ukala secondary,Incomplete,education,Education,Other,in_progress,Adequate,Not complete,PB,1526645102006.jpg,,Ukala Secondary School,school
22762180,,,,,10.29,Ukala ccti,Not yet started,education,Education,Other,not_yet_starte,Adequate,Construction underway,PB,1526645742645.jpg,,Ukala CTTI,school
22843541,,,,,9.24,St mary gorrete ecde,Construction of ecde,education,Education,ECDE centre,completed,Excellent,Increased enrollment of children from the community,HQ,1526632354964.jpg,,St Mary Gorrete ECDE,school
22843797,,,,,12.24,Mutulu water project,Construction of storage tank,water_irrigati,Water/Irrigation,Water project,completed,Adequate,Supplys water to many people,PB,1526634476826.jpg,5637308472,Mutulu water project-storage tank,water point
22844141,,,,,12.24,Mutulu water project,Construction of water kiosk,water_irrigati,Water/Irrigation,Water project,completed,Adequate,It's supplying water to a large area,PB,1526633267593.jpg,5637308470,Mutulu water project-water kiosk,water point
22844331,,,,,12.24,Mutulu water project,Construction of water kiosk,water_irrigati,Water/Irrigation,Water project,completed,Adequate,It's supplying water to the community,PB,1526633619060.jpg,5637308471,Mutulu water project-water kiosk,water point
22844663,,,,,12.24,Mutulu water project,Construction of water kiosk,water_irrigati,Water/Irrigation,Water project,completed,Adequate,Supplys water to many people,PB,1526635213276.jpg,5637308469,Mutulu water project-water kiosk,water point
22844871,,,,,12.12,Mukaatini CTTI,Construction of mukaatini CTTI block,education,Education,Other,completed,Excellent,The project is progressing on well,PB,1526637373368.jpg,,Mukaatini CTTI,school
22844998,,,,,12.16,Kusyethuku ecde,Construction of ecde,education,Education,ECDE centre,not_yet_starte,Adequate,"Site allocation has already done, construction to start soon",PB,1526641546802.jpg,,Kusyethuku ECDE,school
22942478,,,,,12.26,Kikima/kivandini water project,Construction of storage tank,water_irrigati,Water/Irrigation,Water project,completed,Excellent,It's supplying water to a large area in the society,PB,1526891452444.jpg,5637308466,Kikima-kivandini water project,water point
22946341,,,,,12.21,Mutondo irrigation project,The project is excellent since it provides adequate water for irrigation.,water_irrigati,Water/Irrigation,Earth_dam,completed,Excellent,The project is complete and efficient as it serves water to a larger area.,PB,1526984338928.jpg,5637308465,Mutondo irrigation project,public utility
22946694,,,,,10.24,Kyumbuni earthdam,In good condition,water_irrigati,Water/Irrigation,Earth_dam,completed,Excellent,It's helping the villages in domestic use,PB,1526893286009.jpg,5702426109,Kyumbuni earthdam,dam
22946839,,,,,10.27,Miuusini ecde,Finished and equipped,education,Education,ECDE centre,completed,Adequate,Needs another ecdeteacher for the population is high,PB,1526896030669.jpg,,Miuusini ecde,school
22947198,,,,,10.32,Kyuu fruit storage structure,Complete,agriculture,Public facilities,Other,completed,Adequate,The concerned department should sensitize the community about the project.,PB,1526900164789.jpg,,Kyuu fruit storage structure,public utility
22947305,,,,,10.32,Kyuu fruit storage structure (toilet),Complete,agriculture,Public facilities,Other,completed,Adequate,Helping the community during produce seasons.,PB,1526900667538.jpg,5702426111,Kyuu fruit storage structure-toilet,public facility
22947667,,,,,10.34,Katilini dispensary,Need for electricity for laboratory services,health,Health,Dispensary,completed,Adequate,It's free no charges and no long distance,PB,1526979252615.jpg,5702426113,Katilini dispensary,health facility
