Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_mnagei,Sub_Location_kishaunet,Sub_Location_Keringet,Sub_ward_location,Sub_location_kapenguria,Sub_location_kapkoris,Sub_location_Chemwochoi,PB_or_HQ,Project_Name,Additional_Project_Details,Tender sum,Unsure tender sum,wb_pb:id,Added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Is_the_project_operational,Why_has_the_project_not_yet_started,Why_has_the_project_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,Additional_remark,image:project,image_project_inside,Notes Adele,Validation status on Kobo,Notes Peter & Lucy,Adele response to Peter/Lucy,,,
yes,kapenguria,,,,,chemwochoi,,,naramam,PB,Akimultin ECDE,The construction of ECDE classroom,"500,000.00",,1,,ETT,ecde_centre,,on_going,,,,adequate,"Physical observation: The construction is proceeding well and almost to completion 
Impact: It will promote early childhood education to the community",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571405730511.jpg,,corrected column in details,Approved,,,,,
yes,kapenguria,,,,,kapenguria,kamatira,,,PB,Almaris ECDE,Construction Of Classrooms At Almaris ECDE,"500,000.00",,2,,ETT,ecde_centre,,completed,operational,,,adequate,"It is complete and well built 
It promotes early Childhood education in the Almaris Community","No fence 
Poor construction of toilet",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572001193232.jpg,,nothing,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Ardhi house office,Construction of pit latrine at Ardhi house,"1,700,000.00",,4,,LHPPUD,public_toilet,,completed,operational,,,excellent,"Physical observation:
Roofing, doors, painting, wall and floor were constructed perfectly.
There is storage tank of 3000 litres for hand washing and cleaning.
Impact:
The standard of the toilet has improved serving more officers.
",The hand washing facility is not working,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571387315730.jpg,,corrected project name,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Ardhi House office,Construction of perimeter wall at Ardhi house,,"5,999,850 / 2,900,000",5,,LHPPUD,Other_1,Perimeter wall,stalled,,,contractor_left,adequate,"Physical observation 
General finishing not yet done 
The wall has not been painted
The security light hasn't been stalled
Impact 
The wall has provided good barrier to the office.",The general finishing of the wall to be done.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571385450319.jpg,,corrected project name. Tender sum/budget to be confirmed,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,tilak,,PB,Baptist ECDE classroom,Construction of classroom at Baptist ECDE,"500,000.00",,6,,ETT,ecde_centre,,completed,non_operational,,,adequate,"It is well constructed and in use.
The ECDE has improved early childhood education in the region.","Construction of pit latrines.
There is need for fencing the school.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571908171660.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571908301552.jpg,added punctuation,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,PB,Bendera Boda Boda Shed,Construction of Boda Boda Shed,"499,646.80",,7,,TIICD,Other_1,Boda Boda shed,completed,operational,,,excellent,The project was done in an excellent manner.,Floors should be plastered.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571908110589.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571908122561.jpg,nothing,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,chemwochoi,,PB,Chelowo ECDE,Construction of classroom at Chelowo ECDE,"500,000.00",,10,,ETT,ecde_centre,,completed,operational,,,adequate,"Construction is complete and in use.
It promotes early childhood education in the community.",There is need to fence the school and construct a kitchen.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571904822070.jpg,,corrected capitalization,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,chepkechir,PB,Chepkechir Dispensary,Construction of Doctor's Quarters at Chepkechir Dispensary,,"2,500,000.00 / 300,000 .00",12,,HS,Other_1,Doctor's Quarters,on_going,,,,excellent,"Physical observations:
The project  is well built with firm materials.

Impact:
Once the project is complete, the emergency cases will be well attended to since the doctors will be residing within the facility.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571737679075.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571737729425.jpg,"corrected project name, type and spelling mistakes. tender sum needs to be confirmed because there were two sums in the project list",Approved,,there is another 12 that was a test: I have out it as Not Approved,,,
yes,Kapenguria,,,,,kapenguria,chewoyet,,,PB,Chewoyet ECDE,Construction of Chewoyet ECDE,"500,000.00",,15,,ETT,ecde_centre,,completed,operational,,,excellent,"Physical observation:
The roofing has been properly done.
The walls are well painted and built.
Impact:
The ECDE will improve the education standards by enrolling more children within the community.","The ECDE needs additional classroom since it's only one constructed.
An office should be constructed.
The ECDE should be fenced.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571916996495.jpg,,"corrected project name and description, still missing the sublocation",Approved,Corrected Ward and Sub Ward information,ok,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,County Assembly,Construction of Speaker's Residence,"55,450,000.00",,17,,CA,Other_1,Speaker's Residence,on_going,,,,excellent,"The construction is still ongoing
",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571991989054.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571992032989.jpg,corrected project name. are we sure of the type Other?,Approved,The category other is perfect How else would you want to describe the Speaker's Residence,"I meant if it was okay ""Speaker's residence"". It's okay then! :)",,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County assembly,Construction of new modern County Assembly,"358,782,751.40",,18,,CA,Other_1,County assembly block,on_going,,,,excellent,"Physical observation:
Contractor is on site and the work is proceeding well. The materials used are of good quality and high standard. 

Impact:
It's not yet in use but once complete it will house the Assembly.",The work is at completion stage.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571401483188.jpg,,"corrected project name, capitalization and puctuation",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Assembly,Construction of West Pokot County Assembly restaurant,,,19,,CA,Other_1,Restaurant,stalled,,,contractor_left,poor,"Physical observation:
The floor and the are not yet done.
The walls have not been painted.
Installation of electricity has not been done.
The stairs are not yet done.",The wall should be painted and doors fixed.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571745948779.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571746136173.jpg,"Corrected project name, puctuation and capitalization. Tender sum still to find",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Assembly,Renovation of County Assembly Chambers,,,20,,CA,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The rennovation was well done.
Impact:
The County Assembly Chambers have provided a conducive environment for the staff.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747729252.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747749132.jpg,"Corrected project name, capitalization and spelling mistake. Tender sum still to find",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Assembly,Construction of County Assembly pit latrine,,,21,,CA,public_toilet,,completed,operational,,,excellent,"Physical observation:
The roofing, doors and walls were done well.
Impact:
It has provided toilet services for the County Assembly staff and also improved sanitation. ",The hand wash facility needs to be repaired.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571746603057.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571746671573.jpg,Corrected project name and capitalization. Tender sum still to find,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Commissioner's Office,Office block. Construction of commissioners office,"20,000,000.00",,22,29,PSIDU,Other_1,Office block,on_going,,,,adequate,"Physical observation:
The construction is still ongoing.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571904814271.jpg,,"corrected project name, description and department --> duplicaiton on 18th: which one is correct?",Approved,We have changed the id to 22,"ok, now dep should be PSIDU then right? Please if you change IDs, keep track in the other column of the old ID",thats how the department appears from the project list.so it should be PSIDU,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Cooperative Office,Renovation to County Cooperative Office,"4,481,625.20",,23,,TIICD,Other_1,Office Block,completed,operational,,,adequate,"Physical observation:
The renovation works were done well. The walls have been painted.
",The building needs to be labelled.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571733043474.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571733858523.jpg,corrected project name and spelling error,Approved,,,,,
Yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Headquarter Borehole,Drilling of County Headquarter Borehole,"2,987,400.00",,24,,WENR,borehole,,completed,operational,,,excellent,"Physical observation:
The drilling was well done.
Impact:
Improved water accessibility to the community.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572507971895.jpg,,corrected project name and punctuation,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Ardhi house office,Construction of county lands office,"85,941,970.00",,25,,LHPPUD,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The roofing, wall, windows, doors and floor are in good condition.
Impact:
The building has hosted various department: lands, physical planning, housing and urban development office.",The building has not yet been labeled.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571384393399.jpg,,Corrected spelling errors. corrected project name,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Tourism Office,Construction of county tourism office,"7,746,773.50",,26,,YSTGSS,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The doors, window, floor and the roofing are well done.
Impact:
The office provides ample working space for the tourism sector staff.",The office has not yet been labeled.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571729847824.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571730011731.jpg,corrected punctuation,Approved,,,,,
