_id,Ward,Sub_ward,Cluster_Wote,Cluster_Nziu,Project_ID,Project_Name_or_Title,Project_Description,Category,Type_of_facility,What_type_of_facility_or_project_is_it,What_is_the_project_s_apparent_status,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y
21743683,wote,wote,Wote_town,,12,Malawi flood light,Installation of flood light,trade,Other_1,Malawi flood light,completed,Excellent,Improved security
21747351,wote,wote,Kivandini,,25,Governors residence,Construction of governers residence,transport,Other_1,Governors residence,in_progress,Adequate,Good
21747235,wote,wote,Kivandini,,23,Recording studio,Construction of community studio,devolution,Other_1,Community radio station,completed,Adequate,Good
21747152,wote,wote,Kivandini,,22,Prefab office,Construction of 2 prefab offices,finance,Other_1,Prefab offices- map,completed,Adequate,Good
21747113,wote,wote,Kivandini,,21,Makueni fitness centre,Construction of fitness centre,gender,Other_1,Fitness centre,completed,Adequate,Good
21747034,wote,wote,Kivandini,,14,Construction of deputy Governor residence,Deputy governer residence,transport,Other_1,Deputy governor residence,in_progress,Adequate,Good
21741509,wote,wote,Malivani,,7,Playing field,Repairing and maintenance of playing field ,education,sports_ground,,in_progress,Adequate,The project is on its final touches 
21774187,wote,wote,Kivandini,,8,Extension of kwakamende borehole,The project is complete,water_irrigati,Other_1,Extension line,completed,Adequate,The project is complete  and in use
21775666,wote,wote,Kivandini,,7,Kivandini ECDE,ECDE project ,education,ecde_centre,,completed,Excellent,The ECDE is complete and in  use
21745062,wote,wote,Wote_town,,21,Wote sewerage pit ,Management  of wote sewarage,health,Other_1,Wote sewerage pit,completed,Adequate,Improved  sanitation 
21744954,wote,wote,Wote_town,,20,Wore kmtc renovation,Wore kmtc renovation,education,Other_1,Wore kmtc renovation,completed,Adequate,Improved  literacy
21744338,wote,wote,Wote_town,,19,Supply of playing kits at unpacking ecde,Supply of playing kits at unoa ecde,education,ecde_centre,,completed,Adequate,Improved  learning  environment
21744241,wote,wote,Wote_town,,18,Installation  of transformer,Installation  of transformer,transport,Other_1,Transformer installation,completed,Adequate,Improved business and electricity connectivity
21744164,wote,wote,Wote_town,,17,Wote bus station cabro paving,Wore stage cabro paving,transport,Other_1,Wore bus stop,completed,Adequate,Eased transport
21744106,wote,wote,Wote_town,,16,Unoa stadium public toilet,Construction,health,public_toilet,,completed,Adequate,Improved  sanitation
21744084,wote,wote,Wote_town,,15,Unoa stadium,Leveling,gender,sports_ground,,in_progress,Adequate,Improved youth talent
21744024,wote,wote,Wote_town,,15,Kasarani car wash ,Supply of water,gender,Other_1,Kasarani car wash water supply,completed,Adequate,Improved employed
21743948,wote,wote,Wote_town,,14,Wore social  hall,Construction and operationalisation,gender,social_hall,,completed,Adequate,Improved social life
21743785,wote,wote,Wote_town,,13,Kunda kinda transformer ,Installation  of transformer,transport,Other_1,Kunda kinda transformer,completed,Excellent,Improved access to power
21743734,wote,wote,Wote_town,,12,Water kiosk kinda kindu,Oversight ,water_irrigati,Water_project,,completed,Adequate,Reduced distance  to water point 
21742891,wote,wote,Wote_town,,10,Kwan mwenga borehole kiosk at muambani town,"Distribution  to muambani town and kivani, tank supply ",water_irrigati,borehole,,completed,Adequate,"Reduced distance to water,  Florine water"
21736056,wote,wote,Wote_town,,9,Muambani water kiosk mwaani borehole,Distribution ,water_irrigati,Water_project,,completed,Adequate,Shortened  distance to water point
21735962,wote,wote,Wote_town,,8,Muambani ecde kids playing kits,Distribution,education,ecde_centre,,completed,Excellent,Easy access to P.E playing kits
21735928,wote,wote,Wote_town,,2,Bursary ,Issuing bursary to needy students,education,Other_1,Secondary school bursary,completed,Adequate,Help needy students
21733870,wote,wote,Wote_town,,7,Malawi sewarage,Maintenance and treatment,health,Other_1,Sewarage,completed,Adequate,Clean environment no exposure to environmental pollution
21775441,wote,wote,Wote_town,,14,Kaiti water tank and treatment plant,Construction complete,water_irrigati,Other_1,Water tank,completed,Excellent,Well constructed
21754198,wote,wote,Wote_town,,13,Kaiti sand dam,Construction complete,water_irrigati,Other_1,Sand dam,completed,Excellent,Well constructed and can serve many people
21774298,wote,wote,Malivani,,12,Malivani borehole,Malivani Borehole/pipeline,water_irrigati,borehole,,completed,Excellent,It is fully functional
21752918,wote,wote,Malivani,,11,Makongolo ecde,Stalled,water_irrigati,borehole,,in_progress,Poor,Stalled
21774588,wote,wote,Mwaani,,10,Mwaani ecde,Competed,education,ecde_centre,,completed,Adequate,Well constructed
21774158,wote,wote,Mwaani,,2,9,Dinning hall and modern kitchen,finance,Other_1,Dinning hall and modern kitchen,completed,Excellent,Well managed
21775307,wote,wote,Mwaani,,8,Green house,Complete,agriculture,Other_1,Green house,completed,Poor,Its seems to be stalling
21747101,wote,wote,Nthangu,,5,Nthangu ECDE Center,ECDE block,education,ecde_centre,,completed,Excellent,Excellent 
21746987,wote,wote,Nthangu,,5,Kaiti Cattle Dip,Cattle Dip,agriculture,Other_1,Cattle Dip,completed,Adequate,Good
21746971,wote,wote,Nthangu,,4,Kaiti Sand dam -( Utooni),Sand dam,water_irrigati,Other_1,Sand dam,completed,Excellent,Excellent 
21746818,wote,wote,Nthangu,,3,Kiatine ECDE Center,ECDE block,education,ecde_centre,,completed,Excellent,Excellent
21752713,wote,wote,Wote_town,,4,Kasarani water kiosk ,Construction  of water kiosk ,water_irrigati,Other_1,Water kiosk ,completed,Excellent,Adequate water supply to kasarani residents 
21752179,wote,wote,Nthangu,,3,Nthangu community water kiosk ,Water kiosk for constructed to supply water to the community ,water_irrigati,Other_1,Water kiosk ,completed,Excellent,Adequate water supply to the community 
21752069,wote,wote,Nthangu,,2,Nthangu community borehole,Borehole  drilling  and water supply  to the  community,water_irrigati,borehole,,completed,Adequate,Adequate  water  supply  to the  community
21753702,wote,wote,Nthangu,,1,Kanaani borehole,Drilling  of kanaani borehole,water_irrigati,borehole,,in_progress,Adequate,Not yet completed
21741919,wote,wote,Malivani,,10,Ndue nguu drift,Construction of ndue nguu drift,transport,Other_1,Drift ,completed,Excellent,Enhance good transport 
21741809,wote,wote,Malivani,,9,Prison dispensary ,Construction of prison dispensary ,health,dispensary,,completed,Excellent,Provided health services for prisoners 
21741648,wote,wote,Malivani,,8,Science labaratory,Construction of science labaratory,education,Other_1,Science laboratory ,completed,Adequate,Not yet equipped 
21741352,wote,wote,Malivani,,6,St Johns ecde center ,Provision of plastic chairs ,education,ecde_centre,,completed,Adequate,Suitable learning environment 
21741293,wote,wote,Malivani,,5,Water tanks,Installation of two water tanks,education,Water_project,,completed,Excellent,Availability of adequate water for the school 
